prompt,calidad_local,calidad_nube,delta_nube_menos_local,acierto_local,acierto_nube,gana_local
sec-auth,2.33,5.0,2.67,0.0,1.0,False
sec-auth-pam,2.33,3.67,1.33,1.0,1.0,False
sec-firewall,3.67,5.0,1.33,1.0,1.0,False
sec-firewall-deny,5.0,5.0,0.0,1.0,1.0,True
sec-ports,4.67,5.0,0.33,1.0,1.0,False
sec-ports-db,4.33,5.0,0.67,1.0,1.0,False
sec-ports-proc,5.0,5.0,0.0,1.0,1.0,True
sec-ssh-attempts,3.0,5.0,2.0,1.0,1.0,False
sec-ssh-success,5.0,4.67,-0.33,1.0,1.0,True
sec-ssh-topip,4.67,5.0,0.33,1.0,1.0,False
